Company,Date,Open Price,High Price,Low Price,Close Price,Adjusted Close,Volume,Price Change (%),7-Day Moving Avg,30-Day Moving Avg,Volatility
NFLX,2023-02-17,347.9100037,349.0,342.4400024,347.9599915,34796.00%,5294700,0.014368026060871989,355.4971400857143,357.5844421555555,6.575443175215066
NFLX,2023-02-21,342.8500061,344.1300049,336.4200134,337.5,33750.00%,5710300,-1.560450927464625,351.92571151428575,355.57599794,8.611910431711184
NFLX,2023-02-22,337.5,341.9100037,332.8200073,334.8800049,33488.00%,4546200,-0.7762948444444393,350.1428571571428,353.69454402727274,10.7428292294678
NFLX,2023-02-23,331.230011,331.2799988,314.2999878,323.6499939,32365.00%,13238700,-2.288445143335748,345.15428381428575,351.1908315166667,13.838979822545964
NFLX,2023-02-24,319.2999878,321.5,314.519989,317.1499939,31715.00%,6830700,-0.6733460639361697,339.03856987142854,348.57230554615387,15.558072660656226
NFLX,2023-02-27,323.8699951,330.0,322.1199951,323.0299988,32303.00%,6142600,-0.25936218628114455,333.5542820714286,346.7478550642857,12.891374339064212
NFLX,2023-02-28,323.7000122,327.6199951,321.1700134,322.1300049,32213.00%,3676100,-0.4850192279356318,329.47142684285717,345.1066650533333,10.928807416403659
NFLX,2023-03-01,321.5499878,326.6000061,312.3599854,313.480011,31348.00%,4911300,-2.509711430939139,324.54571534285714,343.129999175,8.762542537968491
NFLX,2023-03-02,310.9599915,315.5700073,310.3800049,311.8800049,31188.00%,4911000,0.29586230548890924,320.88571604285715,341.2917642176471,7.740913773475047
NFLX,2023-03-03,315.4500122,317.4899902,310.8200073,315.1799927,31518.00%,5953300,-0.08559818974703132,318.0714285857143,339.84111024444445,4.844311738150637
NFLX,2023-03-06,317.0,323.2999878,311.8399963,312.0299988,31203.00%,5660700,-1.5678237223974805,316.4114292857143,338.37736753684214,4.598793980604482
NFLX,2023-03-07,312.6799927,314.2999878,306.6199951,308.4700012,30847.00%,4553100,-1.3464217725114462,315.1714303285714,336.88199922,5.4566634633163895
NFLX,2023-03-08,309.2900085,311.8299866,305.75,311.7900085,31179.00%,3479500,0.8083028650438929,313.5657174285715,335.6871425190476,4.287185841811506
NFLX,2023-03-09,312.0799866,312.5100098,294.8800049,297.7799988,29778.00%,7443400,-4.582154708410897,310.0871451285715,333.9640905318182,5.793939515508692
